1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.01.24	1568	19.78	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.01.26	1568	30.1	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.01.28	1568	2.53	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.01.28	1568	9.43	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.14	1568	64.06	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.14	3967	192.51	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.16	1568	9.43	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.18	1568	10.13	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.18	1568	1.35	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.18	1568	9.94	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.25	1568	19.35	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.27	1572	94.1	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.28	1568	11.31	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.28	1568	27.64	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.02.29	1568	10.58	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.03	1568	161.73	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.05	1568	134.92	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.09	1568	196.17	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.14	1568	182.26	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.17	1568	43.86	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.18	1568	21.97	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.23	1568	271.16	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.24	1568	2.21	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.24	1568	39.95	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.26	1568	11.34	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.30	1568	12.48	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.03.30	1568	74.33	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.01	1568	11.0	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.01	1568	2.98	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.01	1568	40.47	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.02	1568	19.64	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.10	1568	181.72	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.15	3989	126.95	NA
1010081459&&8012cde5-ac1e-5c13-9308-18332b29b0e5	2016.04.19	1568	41.4	NA
1010081459&&f04efd59-4994-5b4a-9fb7-a1ea861c08a1	2016.02.24	1568	260.52	531000021503599
